City/province name (CN),City/province name (EN),Province,Year,"1.1. Total production capacity (10,000 cubic metres/day)","1.2. Of which how much is groundwater (10,000 cubic metres/day)",1.3. Number of plants (units),1.4. Of which how many are groundwater water treatment plants (units),"2.1. Total water supply volume / year (10,000 cubic metres/year)","2.2. Average supply per day (10,000 cubic metres/day)","2.3. Maximum supplied in a day (10,000 cubic metres/day)","3.1. Total Volume of water sold (10,000 cubic metres/year)","3.2. Of which Domestic/residential water (10,000 cubic metres/year)","3.3. Of which Administrative water (10,000 cubic metres/year)","3.4. Of which Industrial (10,000 cubic metres/year)","3.5. Of which Commercial (10,000 cubic metres/year)","3.6. Of which Special sectors (10,000 cubic metres/year)","3.7. Of which Other (10,000 cubic metres/year)",4. Water sold / water produced (%),5.1. Coverage rate of urban water supply (%),"5.2. Total city population (10,000s)","5.3. Total city population with water access (10,000s)",6.1. Average water use for all purposes (L/person*day),6.2. Average water use for residential/household/living purposes (L/person*day),7.1. Plants under construction (units),"7.2. Capacity of plants under construction (10,000 cubic metres/day)",8.1. Total pipe length (km),8.2. Of which are sourcing water (km),8.3. Of which are supplying water (km),8.4. of which how much length is for piping 75mm diameter and above (km),"9. Loss and leakage volume (10,000 cubic metres)",10. Loss and leakage rate (%),11. Pipe network density (km of pipe/square kilometer of network area）,12.1. Material: Ductile iron (km),12.2. Material: Steel piping (km),12.3. Material: Cast Iron (km),12.4. Material: PCCP (km),12.5. Material: Plastic (km),12.6. Material: Asbestos cement (km),12.7 Material: Other materials (km),13.1. Total number of water meters (units),13.2. Of which Domestic/residential,13.3. Of which Industrial,13.4. Of which Other,14.1. Overall rate of water that meets standard (%),14.2. turbidity rate meeting standard (%),14.3. Colour  rate of meeting standard (%),14.4. Odor  rate of meeting standard (%),14.5. Residual chlorine  rate of meeting standard (%),14.6. Bacterial contamination rate meeting standards (%),14.7. Total coliform contamination rate meeting standard (%),14.8. Oxygen demand (CODMn) meeting standard rate (%),15.1. Rate at which pressure in water distribution system meets the standard (%),15.2. Average pressure in water distribution system (Mpa),"16.1. Percentage of total water supply area is taken up by low pressure are, ratio (%)",16.2. Total water supply area (square km）,16.3. Total low pressure area (square km),"17.1. Total electricity use (10,000 kWh)","17.2. Electricity use for water production (1,000 kWh/1,000 cubic metre)","17.3. Electricity use for water distribution (1,000 kWh/1,000 cubic metre*Mpa)",18.1. Mixed flocculant consumption (kg),"18.2. Coagulant consumption per unit of water (kg / 1,000 cubic meters)",19.1. Total disinfectant consumption (kg),"19.2. Disinfectant consumption per unit water (kg / 1,000 cubic meters)","20.1. Original value (10,000 yuan)","20.2. Net worth (10,000 yuan)","21. Sales revenue (10,000 yuan)",22.1. Total profit,22.2. Net profit,Loss,23. Unit water sales cost (yuan / thousand m3),"24. Total wages (10,000 yuan)",25.1. Total employees (persons),25.2. Of which On-duty workers,25.3. Of which Other personel,25.4. Of which professional and technical personnel,27.1. Residential drinking water Current price or standard (yuan/cubic meter),27.2. Residential drinking water Original price or standard (yuan/cubic meter),28.1. Administrative water Current price or standard  (yuan/cubic meter),28.2. Administrative water Original price or standard (yuan/cubic meter),29.1. Industrial water Current price or standard (yuan/cubic meter),29.2. Industrial water Original price or standard (yuan/cubic meter),30.1. Business services water Current price or standard (yuan/cubic meter),30.2. Business services water Original price or standard (yuan/cubic meter),31.1. Special industry water Current price or standard (yuan/cubic meter),31.2. Special industry water Original price or standard (yuan/cubic meter),32.1. Unit average water Current price or standard (yuan/cubic meter),32.2. Unit average water Original price or standard (yuan/cubic meter)
辉县,Huixian County,Henan,2013,5,5,2,2,667,1.82739726,1.8,521,403,46,,52,5,15,0.781109445,60,25,15,78.2,58.4,,,283,,283,145,147,22,10.11,21.6,0.48,20.57,,240.35,,,38036,37016,,1020,100,100,100,100,100,100,100,100,100,0.37,,28,,237.3,317,456,,,1667.5,0.25,6190,4840,836,,,89,2220,300,156,125,31,45,1.7,1.3,2.2,2.2,2.2,2.2,2.2,2.2,5.5,4.5,1.89,
永城,Yongcheng,Henan,2013,3,3,1,,824,2.257534247,2.5,668,582,46,,40,,,0.810679612,83.33,24,20,100,30,1,3,323.6,47,276.6,302,81,19,14.71,200,0.7,,3,110,,9.9,3682,3682,,,100,100,100,100,100,100,100,100,98,0.3,,22,22,,520,120,,,4120,0.5,5600,3930,1268,,,39,1800,483,165,165,,,,,,,,,,,,,,
武汉,Wuhan,Hubei,2013,,,8,,,,157.34,,,3127,4906,,231,,0.720303456,100,,,301,219,1,25,,,,,,27.97,27.97,,,,,,,,,,,5367,100,100,100,100,100,100,100,100,99.2,0.35,,,,13627,247.47,414.89,15474.41,28.1,1831.55,3.33,,204483.43,39437.5,,,9281.7,1240,,5462,4955,507,,1.1,0.7,1.5,0.8,1.65,1,2.35,1.7,4.8,1.9,1.52,1.38
武汉长供,Wuhan long supply,Hubei,2013,20,,1,,5520.08,15.12350685,18.57,4799.46,1977.6,106.75,2103.39,598.55,1.27,11.9,0.869454791,100,23,23,571,235,,,305.5,,305.3,27.76,720.62,13.05,3.38,248.23,9.05,32.74,,2.51,12.69,,23008,21468,284,1256,100,100,100,100,100,100,100,100,98.3,0.24,,90.4,,1343.98,227.31,453.85,1085630,18.36,165420,2.8,32742.25,22644.42,12455.6,2177.56,1632.11,,,905.36,131,116,15,35,1.52,1.1,2.35,1.5,2.35,1.65,2.35,2.35,9,4.8,,
武钢,WISCO,Hubei,2013,60,,2,,10894,29.84657534,40,7351.8,2596.79,210.86,3425.08,721.11,17.3,380.67,0.67484854,100,50,50,402.84,142.29,,,1004.57,4,1000.57,776.1,1488.74,13.67,8.37,166.84,7.28,583.34,8,12,,247.11,195772,189700,517,5555,99.73,96.23,100,100,100,100,100,100,97,0.25,5,120,7,3688.16,310,338,4416600,40.54,578500,4.87,25401.23,11211.48,14004.25,1927.5,931.14,,1642.69,2030,276,276,,52,1.3,1,1.5,1.15,1.65,1.15,1.65,1.4,3.3,2.2,1.48,1.12
襄阳,Xiangyang,Hubei,2013,95,,4,,13865,37.98630137,49.09,8619.7,4064.72,604.51,3142.29,,94.91,713.27,0.621687703,100,100,100,236.16,111.36,,,710.48,,710.48,571.75,524.5,3.78,11.28,37.41,14.68,168.97,,210.55,162.55,116.32,180157,180157,,,98.8,97.2,100,100,97.08,99.76,97.45,100,90.74,0.26,,63,,2961.51,186.07,358.92,278957.5,2.01,151913,1.1,38815.83,34382.68,17034.76,1912.67,2181.27,,1287.63,2206.2,937,937,,100,1.48,1.25,2.3,1.72,2.3,1.72,2.3,1.72,8,4,,1.26
黄石,Yellowstone,Hubei,2013,48,,3,,8939,24.49041096,34.37,7873.12,5242.74,251.36,1532.9,474.57,26.6,344.95,0.880760711,100,79.56,79.56,226.85,162.36,1,20,821.06,4.2,816.86,816.86,886.76,9.92,4.56,179.22,106.6,193.71,57,275.51,,4.82,189207,174682,7353,7172,99.9,99.9,100,100,100,100,100,100,100,0.3,,178.98,,3156,320.92,344.82,2157418,24.13,245832,2.5,60913,35356,8707,,,719,1574.83,1427,549,506,43,148,1.25,1.05,1.72,1.25,1.72,1.25,1.72,1.3,4,1.9,1.43,1.14
鄂州,Ezhou,Hubei,2013,24,,4,,5882,16.11506849,,3954.84,2522.25,,1409.15,,23.44,,0.672363142,100,41.3,41.3,250,160,1,10,1280,15.5,1264.5,1280,1924.87,32.72,,627.88,93,83.54,8.44,369,,98.14,115855,106139,9477,239,99.53,96.25,100,100,100,100,100,,99.28,0.26,8,300,24,1547.6,263,385,183640,3.83,89482,1.87,33588,18936,5291.8,,,654.2,1658.22,1605.7,636,518,118,76,1.3,1.3,1.68,1.6,1.68,1.6,1.68,1.6,4,3,2.33,1.89
荆州,Jingzhou,Hubei,2013,55,,3,,7812,21.40273973,40.32,6248.09,3436.21,325.61,1542.51,908.69,35.07,,0.799806708,100,90,90,190.2,104.6,,,1656.54,6,1650.54,995.26,1430.84,18.32,,57.95,49.6,360.9,133.72,662.89,,385.48,193521,183402,10119,,99.99,99.93,100,100,100,100,100,100,99.75,0.28,,,,2412.16,184.5,365.32,652.85,4.99,203.56,1.56,47633,38198,8737,2567,2358,,1370,3026,751,692,59,133,1.62,0.98,1.75,1.1,1.8,1.05,1.8,1.42,3.5,1.85,,
荆门,Jingmen,Hubei,2013,20,,,,4536,12.42739726,17.39,3505.88,1827,,,1522.28,156.6,,0.772901235,100,48.49,43.42,223.33,115.29,,,436,50,386,386,943.67,20.8,8.38,60,144,6,208,18,,,169679,151884,15043,2752,99.77,99.2,100,100,99.2,100,100,100,99,0.42,,52,,1373.49,303,,,,95486,2.1,36082.03,22584.71,,790.11,724.44,1089.38,1222,427,167,33,134,,2,1.6,2.82,1.6,2.82,1.89,2.82,1.89,3.8,2.4,1.93,1.68
恩施,Enshi,Hubei,2013,11,,3,,3568,9.775342466,11,2207,1444,33,13,687,30,,0.618553812,100,35,35,172.84,113.03,,,339,,339,339,1095,30.69,13.56,107,46,89,84,13,,,63823,60005,50,3768,100,100,100,100,100,100,100,100,100,0.18,11,25,2.75,600,195.33,167.34,138425,6.5,43926,2.06,13113,7711,4787,394,394,,1398,1449,280,244,36,56,1.15,0.95,1.35,,1.25,1.05,1.75,1.35,2.55,,1.35,1
汉川,Hanchuan,Hubei,2013,9.5,,2,,854,2.339726027,10.2,502.7,227.86,,267.54,,7.3,,0.588641686,100,20,20,279,127,2,9.5,677.42,3.58,673.84,467.82,,,,85.12,,75.2,88.16,84.44,,344.16,65960,54798,10841,321,99,99,100,100,98,100,100,97,96,0.26,10,40,4,188.6,220,,60775,7.1,6900,0.8,7351.9,3474.2,620.9,,,29.4,1419,6.8,322,227,95,36,1.4,1.1,1.4,1.1,1.57,1.1,1.57,1.15,1.95,1.4,1.42,1.42
潜江,Qianjiang,Hubei,2013,13,,2,,2214,6.065753425,6.5,1558.87,1153.56,,280.6,93.53,31.18,,0.704096658,100,27.8,27.8,153.6,113.7,,,449.41,23.4,426.01,,586.8,26.5,9.4,9.3,17.6,25,168.55,111.44,,117.52,60983,45982,8238,6763,99.77,100,100,100,99,100,100,100,100,0.28,,48,,589.97,109.5,421.2,174268,6.7,52200,2,11691.6,6730.8,3232.3,,,313.3,1860,772.9,202,202,,48,1.52,1.1,2.6,1.56,2.6,1.56,2.6,1.56,9,,2.02,1.15
孝感,Xiaogan,Hubei,2013,23,,2,,4118,11.28219178,14.06,3312.66,1755.71,331.27,198.76,861.29,66.25,99.38,0.804434191,99,45,44.55,259,180,1,10,404.53,68.06,336.47,271.12,700,17,10.95,31.57,21.15,70.66,68.17,168.58,,44.4,40501,38881,1454,166,99.5,100,100,100,99.9,100,99.6,99.8,99,0.28,10,46,4.6,1084.02,153.61,100.92,248270,6.11,51596,1.25,10685,6302,,,,193,,906,458,348,110,59,1.5,1.2,1.6,1.2,1.8,1.2,1.8,1.2,3,1.2,1.59,1.2
随州,Suizhou,Hubei,2013,26,,3,,3360,9.205479452,16,2520,1625,77,480,323,15,,0.75,99,45,45,153,123,,,783,37,746,563,840,25,10,10,42,72,157,502,,,85295,81708,3323,264,99.8,100,100,99,100,100,100,99,99,0.3,10.7,75,7,609,38,477,1448273,43.1,44000,1.3,17857,7860,3891,,,4014,1741,430,430,286,144,,1.3,1.02,1.3,1.02,1.35,1.09,1.35,1.17,,,1.24,1.24
钟祥,Zhongxiang,Hubei,2013,10,,1,,1902,5.210958904,7,1502,766,121,360,255,,,0.789695058,100,21,21,195,106,1,10,434.86,1.6,433.26,433.26,400,21.03,16.7,,1.56,35,14.86,381.84,,,36642,36316,326,,100,100,100,100,100,100,100,100,100,0.33,19.2,26,5,503.7,205,,74175,3,35000,1.5,4973,2732,1865,33,31,,1586,753,183,171,12,141,1,0.85,1.2,0.9,1.15,0.9,1.5,1,2.7,2,1.06,0.87
丹江口,Danjiangkou,Hubei,2013,7,,2,,1183.55,3.24260274,3.21,855.14,459.04,45.7,239.85,48.48,9.93,52.14,0.722521229,99,15.1,14.95,156.59,103.2,,,223.73,1.23,222.5,222.5,307.78,26,7.98,20.15,6.05,,,12.53,,,42177,32500,103,10211,100,100,100,100,100,100,100,100,100,0.35,4.02,20.1,0.81,227.08,189.54,,,,13555,1.15,2550,1.66,2191,68,39,,,483,281,198,83,55,1.4,1.1,1.9,1.5,1.9,1.5,1.9,1.9,3,,1.48,1.27
枣阳,Zaoyang,Hubei,2013,12,,2,,2136,5.852054795,7.2,1589,1026,548,,,15,,0.743913858,95,31,29.5,147.57,129,,,228.31,15,213.31,197.14,547,25.61,7.11,37.62,2.13,39,75.43,59.13,,,65137,63906,611,620,100,100,100,100,100,100,100,100,98,0.35,0.66,30,0.2,452,211.7,390,2792581,7.23,84185,3.94,8198,3418,2352,,,,720,271,246,246,,,1.51,1.38,2.2,2,2.2,2.02,2.2,2.02,3.5,2.7,,
天门,Day gate,Hubei,2013,15,,2,,2628,7.2,7.5,1189.22,870.8,,310.51,,7.91,,0.452519026,91.5,30,25,108.6,79.53,,,833.3,5,828.3,164.02,,54.74,12.8,27.9,2.2,2,32,720,,39.2,46480,44602,828,1050,99.7,99.8,100,100,99,100,100,99.8,98,0.23,6,68,4,645.73,245.76,,135775,5.17,70914.8,2.7,128.86,48.96,2983.37,282.36,282.36,,1663.56,373.04,120,120,,30,1.4,1.09,1.5,1.09,1.5,1.19,1.6,1.29,2.4,1.79,1.5,1.15
赤壁,Chibi,Hubei,2013,20,20,3,,2743,7.515068493,9,1609,1280,30,200,81,9,9,0.586584032,92.31,26,24,183,146,,,292.46,1,291.46,292.46,684,24.94,11.12,1.3,43.66,70,47.92,129.58,,,69140,67618,1422,100,99,99,99,100,98,98,99,98,99,0.37,,,,674,245.71,,,,6320,2.31,8137,3696,2128,,,,,496,310,186,157,,1.1,1.1,1.13,1.13,1.13,1.11,1.13,1.4,1.7,1.7,1.11,1.28
宜都,Yidu,Hubei,2013,14.2,,4,,2407,6.594520548,8,1972.6,1058.1,,803.9,109.8,0.8,,0.819526381,90,33,29.7,89.7,48.1,1,3,357.96,1,356.86,357.96,434.7,18.06,,97.9,62.5,40.6,6,149.46,,1.5,34928,32142,2786,,100,100,100,100,100,100,100,100,100,0.38,5,23.5,1.2,731,33.7,336.9,41267,2.09,246522,1.25,8665.4,4671.9,1900,0.2,0.2,,1363,193,180,180,,,1.46,1.05,1.75,1.38,1.75,1.38,1.75,1.65,5,3.16,1.38,1.24
十堰,Shiyan,Hubei,2013,18,,2,,3292,9.019178082,12.2,2784,1728,110,300,632,14,,0.845686513,48,42,20,130,85,1,10,247,,247,214,508,15.43,3,10,106,54,25,3,,49,19200,13765,4230,1205,99.85,99.45,100,100,99.36,100,100,100,100,0.4,,,,1721,539,539,37500,1.15,67510,2.1,55020,37641,3489,,,263,1268,294,294,276,18,62,1.7,1.7,2.3,2.1,2.3,2.1,2.3,2.5,3,3,1.98,1.98
十堰武当,Shiyan Wudang,Hubei,2013,1.5,,1,,340,0.931506849,1.2,297.59,164.19,25.2,45.69,58.9,1.61,2,0.875264706,90,6.7,5.8,114.4,73.46,1,3,131.36,7.3,124.06,131.36,47.86,14.08,25.27,0.2,21,15,0.2,94.16,,0.8,20170,19862,25,283,100,100,100,100,100,100,100,100,100,0.42,1.92,5.2,0.1,191,420,,,1.35,,,1653,1018,650,146,146,,2760,257,80,80,,,1.7,1.28,1.9,1.48,1.75,1.43,2.5,1.58,4.5,1.78,1.7,1.28
安陆,Anlu,Hubei,2013,10,,2,,1775.1,4.863287671,6,1453,1309,7,114,23,,,0.818545434,98,20,15,265.39,244.57,1,6,365.8,0.2,365.6,355.5,323.8,18.24,6.1,45.6,4.2,4.5,15.6,290.7,,5.1,67068,65698,1300,70,99.9,100,100,100,99,100,100,,99,4,,30,,617,335,282,50000,3.15,66930,3.77,9160.04,4073.75,2111.7,,,9.6,1368.7,975.03,304,245,59,,1.46,1.3,1.46,1.3,1.85,1.65,1.85,1.65,4,2.3,2.92,2.12
黄冈,Huang Gang,Hubei,2013,18,,2,,3882,10.63561644,13,2575,1313,,567,540,52,103,0.663317877,100,32,32,220,112,,,285.2,7.2,278,285.2,1086,27.98,1.36,16.4,12.5,47.5,64.9,120,11.6,,66000,62915,1165,1920,99,98.8,99.4,99.6,98.5,98.7,98.7,99.3,98.2,0.32,30,210,63,1022.14,263.2,171.1,200740,5.17,83868,2.16,18004,7050,4845,,,,1409,330,292,292,,,1.5,1.15,,,1.82,1.06,,,3,1.5,2.1,1.18
当阳,Dangyang,Hubei,2013,10,,1,,2148,5.884931507,7,1280,567,,711,2,,,0.595903166,90,20,18,195,86,,,337,40,297,287,837,38.97,,48,8,,,181,92,8,47100,46100,1000,,97.5,98,98,97,97,97,97,,96,3,5,400,20,134,,116,,,25000,1.45,11463,6510,4165,80,80,,,147,144,144,,,1.15,0.92,1.35,1.1,1.15,0.9,1.35,1.1,1.65,1.4,,
宜城,Yicheng,Hubei,2013,5,,1,,1576,4.317808219,4.8,1106,796,44,199,66,1,,0.70177665,90,23,20.1,135,123.63,,,117,1,116,116,469,29.76,,,25,15,30,39,,7,28783,27632,1151,,100,100,100,100,100,100,100,100,99,0.35,,,,422,169,252,39280,2.3,35510,2.33,5851,2901,2385,104,84,,1350,304,128,104,24,10,1.5,1.1,1.9,1.33,1.9,1.26,1.9,1.54,2.5,1.54,1.65,1.18
广水,Wide water,Hubei,2013,2,,1,,359,0.983561644,1.2,208,163,3,18,17,,7,0.579387187,100,5.6,7,81.41,71.62,,,104.2,5.2,99,54.1,79,22.01,,0.88,,19,,84.32,,,19208,18085,5,1118,99.6,100,100,100,100,100,100,98,100,0.35,63,6,3.8,139.2,115,288,11000,3.06,700,2,2500,2002,296,,,124,2040,158,173,73,45,20,2.1,1.56,3.2,2.05,3.25,2.2,3.25,2.35,3.9,2.6,3.14,2.15
利川,Icheon,Hubei,2013,6.7,,2,,1452,3.978082192,4,773,478,,6,,,289,0.532369146,93,15,14,151,150,,,153.77,3,150.77,153.77,679,46.76,10,43.3,14.5,56,,2.8,,34.17,26804,26714,49,41,86,94,100,100,94,100,100,100,80,0.52,70,13,3.9,240,165,,6950,0.48,20442,1.4,11222,8065,1900,92,89,,1368,578,125,121,4,45,1.5,1.1,1.9,1.33,1.9,1.26,1.9,1.54,2.5,1.54,1.65,1.18
仙桃,Xiantao,Hubei,2013,20,,3,,4969,13.61369863,14,3059,2051,,944,,64,,0.615616824,100,42,42,199.54,137.96,,,446.46,4,442.46,442.46,1646.25,33.13,,5.9,72.75,88.21,90.26,43.66,,414.68,119765,110517,8938,310,100,100,100,100,100,100,100,100,100,0.35,10,85,8.5,997,177.41,104.29,11625,2.35,142687,2.87,21793,16421,3618,,,890,1650,612,307,307,,41,1.65,1.28,1.77,1.35,1.77,1.35,1.77,1.55,2.9,1.6,,
洪湖,Honghu,Hubei,2013,10,,2,,1603,4.391780822,6,1174,751,328,,,81,14,0.732376794,100,18,18,178.69,114.3,,,152,1.5,150.5,150.5,429,26.76,7.79,,3.09,47.46,24.86,76.59,,,42304,39549,127,2628,99,99,100,100,98,100,100,,95,0.23,6.43,35,2.25,448,125.44,219.52,68150,3.1,40766,1.86,4962,1048,1742,,,94,1724.29,489,169,169,,50,1.46,1.06,1.8,1.28,1.7,1.2,2.1,1.6,2.5,1.9,1.91,1.41
麻城,Macheng,Hubei,2013,8,,2,1,1650,4.520547945,5.82,841,506.4,32.06,91.64,210.43,0.47,,0.50969697,93,30,27.9,130,150,,,197.1,11,186.1,,,,8.31,14,3.6,52.6,45,70.9,,,59600,54258,200,5142,100,100,100,100,100,100,100,100,98.2,0.26,4,25,1,260,25,235,70000,5.93,61500,3.73,7143,4022,1319,2,2,,1573.4,478,287,251,36,18,1.4,1.4,1.85,1.7,1.85,1.69,1.85,2.2,2.4,2.4,1.87,1.88
武穴,Wuxue,Hubei,2013,4.7,,6,,1651,4.523287671,7,1651,1205,,257,189,,,1,96,19,18,238,194,,,389,7,382,166,495,29.98,2.59,28,22,117,,82,,140,58536,57110,1093,333,98,98,100,99,99,99,100,97,96,0.34,29,150,30,459,278,,142481,8.63,39163,2.37,2668,477,1965,,,,573,340,119,91,28,,1.4,1.1,1.75,1.6,1.75,1.5,1.75,2,4,,1.66,1.53
应城,Should be city,Hubei,2013,15,,2,,1800,4.931506849,5.7,942,683,46,148,63,2,,0.523333333,95,20,20,129,90,,,156.2,6.4,149.8,149.8,612,34,11.16,24.7,3.8,,,48.7,,,29127,25907,3220,,98,95,,95,90,98,98,100,99,0.3,8.6,14,1.2,464,,,92025,5.11,47000,2.61,5984,3574,1407,,,337,968,360,253,167,86,86,2.25,1,1.8,1.36,1.8,1.36,1.8,1.36,2.9,1.36,2.06,1.28
枝江,Zhijiang,Hubei,2013,6,,1,,1440,3.945205479,4,852,467,,381,,4,,0.591666667,98,20,17,211,107,,,361,16,345,161,513,35.63,14.44,2,10,,97,252,,,26977,24320,650,2007,98,98,100,100,98,100,100,100,98,0.31,22,25,7,205,,132.9,7500,0.52,67685,4.7,6680,4468,1234,66,66,,975,422,146,146,,60,0.9,0.9,,,,1,1.03,1.05,,,,
神农架,Shennongjia,Hubei,2013,1.5,,,,160,0.438356164,0.45,130,110,,,20,,,0.8125,83.33,3,2.5,142.47,142.47,,,51.32,6,45.32,30,,,,4.6,,,,,,,8366,7306,,1060,100,100,100,100,100,100,100,100,100,0.6,30,,,258,95,,3000,,35000,0.27,2476,2224,134,,,70,1900,64,18,18,,3,1.68,1.68,2.41,2.41,1.52,1.02,2.41,2.41,4,4,1.82,1.79
大冶,Daye,Hubei,2013,12,,3,,2928,8.021917808,8,4897,,,,,,,1.672472678,80,40,32,209,91,,,38.7,,38.7,28.4,35.7,,,18.3,0.97,,,18.63,,0.84,7042,6995,,47,99,98,98,98,98,99,98,98,100,0.34,,,,873,182,669,9860,0.34,19895,0.7,12427,8014,4456,166,127,,851,320,246,246,,,1.62,,1.72,,1.62,,2.05,,2.95,,1.74,
石首,Stone first,Hubei,2013,10,,1,,1198,3.282191781,3,741,463,35,30,179,14,20,0.618530885,99,15.3,15.2,133,83,,,135.24,2,133.24,135.24,455,37.98,5,23.68,11.7,52.09,,37.51,10.26,,47069,46120,932,17,100,100,100,100,100,100,100,100,90,0.22,2.22,22.51,0.5,348,198,,33875,2.82,12750,1.06,10,6.55,1268,12.37,12.37,,1550,621.03,241,150,91,,1.46,1.05,,,1.75,1.38,,,5,3.16,1.63,1.22
十堰东风,Shiyan Dongfeng,Hubei,2013,28.22,,5,,6938,19.00821918,21.5,5212.11,2159.47,,3052.64,,,,0.751240992,52.1,76.79,40.01,356.9,147.87,,,185.08,42,143.08,143.08,1725.59,24.87,,51.19,86.21,15,31.62,,,,1197,869,328,,99.84,99.24,100,100,99.62,100,100,100,99.5,0.44,2.5,600,15,2977.8,394.44,,400865,5.78,110310.7,1.59,21859.87,6930.06,7779.4,,,1156.89,2047.91,3045.13,400,378,22,105,2.3,2.3,2.4,2.4,2.65,2.65,2.65,2.65,3.8,3.8,2.76,2.76
咸宁,Xianning,Hubei,2013,16,,3,,4489,12.29863014,16,2413,1425,143,258,453,64,70,0.5375362,90,50,45,273,218,1,10,706,14,692,416,,,13.84,169.44,56.48,98.84,49.42,282.4,42.36,7.06,113192,102535,198,10459,99.89,99.79,100,100,99.6,99.79,100,100,100,0.28,5,50,,1430,204.27,114.29,287499,6.4,216845,4.83,2301,2215,3724,,,,919.83,739,308,308,,79,,,,,,,,,,,,
长沙,Changsha,Hunan,2013,,,7,,,,144.49,,,1684.46,3233.13,,122.25,1986.75,0.833127033,100,312,312,385.83,339.99,,,2172.85,,2172.85,1569.29,6745.21,12.79,8.69,917.1,192.79,439.29,,,,623.67,259241,246328,1950,10963,100,100,100,100,100,100,100,100,99.99,0.31,4.88,250,12.2,11311.76,315.45,373.44,6988150,19.49,827570,2.31,264338.4,176588.1,,914,773.2,,1711.2,9425.42,1756,1265,471,,1.56,1.2,1.88,1.2,,,1.88,,6.33,4.89,1.57,1.21
株洲,Zhuzhou,Hunan,2013,100,,4,,17289.3,47.36794521,58.22,13872.25,6550.42,809.34,4780.94,1667.49,64.06,,0.802360419,94.88,105.4,100,380.06,249.08,,,1998.54,13.66,1984.88,1029.09,3417.05,19.76,15.07,,,,,,,,266682,262051,3360,1271,99.97,100,100,100,99.8,100,100,100,99.79,0.33,,132.63,,4863.34,270,370,1879072,10.43,370230,2.43,79555.96,43855.19,21789.55,,,884.44,1667.44,5112.9,1186,1186,,93,2.62,1.82,2.87,1.92,2.87,2.14,2.87,,7.92,6.42,1.61,1.32
湘潭,Xiangtan,Hunan,2013,,,,,,,,,,,,,,,,,,,,,,,887.07,1.07,886,624,3309.75,,,224.6,18.48,238.8,138.05,,,266.29,191650,168200,3666,19784,100,100,100,100,100,100,100,100,89.23,0.35,,,,3541.25,327.48,469.85,973338,9.37,224752,2.16,32915.55,21096.05,18163.77,1467.38,1068.15,,960.93,2356.2,518,475,43,105,2.05,1.75,3.07,1.75,3.07,1.8,3.07,3,8.2,4.8,,
醴陵,Liling,Hunan,2013,6,,1,,1798.09,4.926273973,6.16,1239.87,898.05,46.66,181.35,107.16,6.65,,0.689548354,100,19.85,19.85,171.13,146.1,,,544.47,,544.47,212.51,425.89,23.69,,66.05,81.96,,,119.88,,276.58,,,,,100,100,100,100,100,100,100,100,99.66,,,,,345.88,126.18,120.05,92140,4.87,40847,2.16,12445.93,7102.17,2497.45,,,328.29,,856.76,189,189,,78,1.62,1.3,2.43,1.3,2.43,1.43,2.43,2.34,6.48,5.2,1.81,1.42
益阳,Yiyang,Hunan,2013,32,,2,,11680,32,20,3448,2334,,,,31,6,0.295205479,100,55,55,171.76,,1,10,414,6,408,408,880,7.53,,56,3.5,32,225,78.5,,13,98545,97843,702,,99,99,100,100,99,100,100,100,99,0.35,,,,2078.5,641.71,641.71,256100,5.94,12700,2.95,29138,18080,6181,300,225,,1757.46,2172,489,452,37,80,2.79,2.23,,,,,4.06,3.66,7.67,6.22,,
沅江,Yuanjiang,Hunan,2013,3,,2,2,1095,3,3,650,560,,,71,11,8,0.593607306,100,22,22,80.95,79.95,,,105.8,0.3,105.5,105.5,500,45.66,4.81,,11,1,80,12.5,,1,51544,50234,1110,200,100,100,100,100,100,100,100,100,95,0.36,30.91,22,6.8,2923.4,,,,,11500,1.55,4232,2482,1066,,,523,3200,472,148,138,10,,1.55,1.55,2.33,1.55,2.33,1.68,2.33,2.78,6.2,5.98,,
邵阳,Shaoyang,Hunan,2013,51.5,,4,,8219,22.51780822,29.54,4961,2813,134,885,525,25,579,0.603601411,99.49,65,64.67,210.17,148.15,,,706,,706,,,,,,,,,,,,138541,124320,14221,,99.94,,100,100,100,100,100,100,98.76,,,,,2957,355.31,424,883000,,185000,,44273,24597,8056,,,102,2370.95,3821,1054,755,299,99,1.43,1.1,1.43,1.1,1.58,1.2,2.59,1.8,5.78,3.4,2.56,1.72
常宁,Changning,Hunan,2013,5.5,,1,,1982,5.430136986,,1052,617,74,23,268,13,57,0.530776993,100,15,15,192.15,177.53,1,5,,,,,,,,,,,,,,,,,,,99,99.8,98.7,100,99.6,98.6,98.6,98.7,,,,,,458,150.2,80.88,96000,4.84,33000,1.66,6349,4379,1141,,,77,2193,611,260,195,65,26,1.98,,2.98,,2.98,,2.98,,7.98,,,
湘乡,Xiangxiang,Hunan,2013,4,,1,,1401.04,3.838465753,4.5,883.58,665.76,,,,19.09,,0.630660081,100,20,20,121.04,,,,38.63,,38.63,,420,29.98,,0.98,1.5,0.22,,35.88,,0.05,47990,41050,200,6740,99,99,100,100,100,100,100,100,99,0.35,,,,426.11,304.14,,75475,5.39,23485,1.68,5337.21,2051.17,1916.22,,,301.22,3063,842.79,202,192,10,66,1.98,1.58,2.96,1.58,2.96,1.74,2.96,2.84,7.28,4.8,2.36,1.88
